Factura,Sucursal,Ciudad,Tipo,Genero,Categoria,Costo,Ventas,Fecha,Hora,Metodo de Pago,Resenia
750-67-8428,A,Nueva York,Member,Female,Health and beauty,522.83,548.97,1/5/2019,13:08,Ewallet,
226-31-3081,C,Houston,Normal,Female,Electronic accessories,76.40,80.22,3/8/2019,10:29,Cash,9.6
631-41-3108,A,Nueva York,Normal,Male,Home and lifestyle,324.31,340.53,Diciembre,13:23,Credit card,7.4
123-19-1176,A,Nueva York,Member,Male,Health and beauty,465.76,489.05,1/27/2019,20:33,Ewallet,8.4
373-73-7910,A,Green,Normal,Male,Sports and travel,604.17,634.38,2/8/2019,10:37,Nueva York,5.3
699-14-3026,C,Houston,Normal,Male,Electronic accessories,597.73,627.62,3/25/2019,18:30,Ewallet,4.1
355-53-5943,A,Nueva York,Member,Female,Electronic accessories,413.04,433.69,2/25/2019,14:36,Ewallet,5.8
315-22-5665,C,N/N,Normal,Female,Home and lifestyle,735.60,772.38,2/24/2019,11:38,Ewallet,8
665-32-9167,A,Nueva York,Member,Female,Health and beauty,72.52,76.15,1/10/2019,17:15,Credit card,7.2
692-92-5582,B,Chicago,Member,Female,Female,2.000.365,172.75,2/20/2019,13:27,Credit card,5.9
351-62-0822,B,Chicago,Member,Female,Fashion accessories,57.92,60.82,2/6/2019,18:07,Ewallet,4.5
529-56-3974,B,Chicago,Member,Male,Electronic accessories,102.04,107.14,3/9/2019,17:03,Cash,6.8
365-64-0515,12,Nueva York,Normal,Female,Electronic accessories,234.75,246.49,2/12/2019,10:25,Ewallet,7.1
252-56-2699,A,Nueva York,Normal,Male,Blue,431.90,453.50,2/7/2019,16:48,Ewallet,8.2
829-34-3910,A,Nueva York,Normal,Female,Health and beauty,713.80,749.49,3/29/2019,19:21,Cash,5.7
299-46-1805,B,Chicago,Member,Female,Sports and travel,562.32,590.44,1/15/2019,16:19,Cash,4.5
656-95-9349,A,Nueva York,Female,Female,Health and beauty,482.51,506.64,3/11/2019,11:03,Credit card,4.6
765-26-6951,A,Nueva York,Normal,Male,Sports and travel,435.66,457.44,1/1/2019,10:39,Credit card,6.9
329-62-1586,A,Nueva York,Normal,102.3,Food and beverages,164.01,172.21,1/21/2019,18:00,Credit card,8.6
319-50-3348,B,Chicago,Normal,Female,Home and lifestyle,80.60,84.63,3/11/2019,15:30,Ewallet,4.4
300-71-4605,C,Houston,Member,Male,Electronic accessories,430.20,451.71,2/25/2019,11:24,Ewallet,4.8
371-85-5789,B,Chicago,Normal,Male,Health and beauty,263.94,277.14,3/5/2019,10:40,Ewallet,5.1
273-16-6619,B,Chicago,Normal,Male,Home and lifestyle,66.40,69.72,3/15/2019,12:20,Credit card,4.4
636-48-8204,A,Nueva York,Normal,Male,Electronic accessories,1231244,181.44,2/17/2019,11:15,Ewallet,9.9
549-59-1358,A,Nueva York,Member,Male,Sports and travel,265.89,279.18,3/2/2019,17:36,Ewallet,6
